metric,value,category,fold,epoch
val_f1,0.0,si,5,0
val_recall,0.0,si,5,0
val_acc,0.6935908794403076,si,5,0
val_loss,0.6136711835861206,si,5,0
val_precision,0.0,si,5,0
val_f1,0.0,si,5,1
val_recall,0.0,si,5,1
val_acc,0.6935908794403076,si,5,1
val_loss,0.6130114793777466,si,5,1
val_precision,0.0,si,5,1
val_f1,0.0,si,5,2
val_recall,0.0,si,5,2
val_acc,0.6935908794403076,si,5,2
val_loss,0.6111440062522888,si,5,2
val_precision,0.0,si,5,2
val_f1,0.0,si,5,3
val_recall,0.0,si,5,3
val_acc,0.6927129030227661,si,5,3
val_loss,0.612520158290863,si,5,3
val_precision,0.0,si,5,3
val_f1,0.005698005668818951,si,5,4
val_recall,0.0028653296176344156,si,5,4
val_acc,0.6935908794403076,si,5,4
val_loss,0.6121353507041931,si,5,4
val_precision,0.5,si,5,4
val_f1,0.005649717524647713,si,5,5
val_recall,0.0028653296176344156,si,5,5
val_acc,0.6909569501876831,si,5,5
val_loss,0.6112337708473206,si,5,5
val_precision,0.20000000298023224,si,5,5
val_f1,0.02222222276031971,si,5,6
val_recall,0.011461318470537663,si,5,6
val_acc,0.6909569501876831,si,5,6
val_loss,0.611877977848053,si,5,6
val_precision,0.3636363744735718,si,5,6
val_f1,0.03269754722714424,si,5,7
val_recall,0.017191976308822632,si,5,7
val_acc,0.6883230805397034,si,5,7
val_loss,0.6115393042564392,si,5,7
val_precision,0.3333333432674408,si,5,7
val_f1,0.048128340393304825,si,5,8
val_recall,0.025787966325879097,si,5,8
val_acc,0.6874451041221619,si,5,8
val_loss,0.6137147545814514,si,5,8
val_precision,0.36000001430511475,si,5,8
val_f1,0.05835543945431709,si,5,9
val_recall,0.03151862323284149,si,5,9
val_acc,0.6883230805397034,si,5,9
val_loss,0.6124707460403442,si,5,9
val_precision,0.3928571343421936,si,5,9
val_f1,0.06824146956205368,si,5,10
val_recall,0.037249282002449036,si,5,10
val_acc,0.6883230805397034,si,5,10
val_loss,0.61282879114151,si,5,10
val_precision,0.40625,si,5,10
val_f1,0.05319149047136307,si,5,11
val_recall,0.02865329571068287,si,5,11
val_acc,0.6874451041221619,si,5,11
val_loss,0.6128420233726501,si,5,11
val_precision,0.37037035822868347,si,5,11
val_f1,0.0677083358168602,si,5,12
val_recall,0.037249282002449036,si,5,12
val_acc,0.6856892108917236,si,5,12
val_loss,0.6133741736412048,si,5,12
val_precision,0.37142857909202576,si,5,12
val_f1,0.057894736528396606,si,5,13
val_recall,0.03151862323284149,si,5,13
val_acc,0.6856892108917236,si,5,13
val_loss,0.6130243539810181,si,5,13
val_precision,0.35483869910240173,si,5,13
val_f1,0.057742781937122345,si,5,14
val_recall,0.03151862323284149,si,5,14
val_acc,0.6848112344741821,si,5,14
val_loss,0.6136761903762817,si,5,14
val_precision,0.34375,si,5,14
val_f1,0.06315789371728897,si,5,15
val_recall,0.034383952617645264,si,5,15
val_acc,0.6874451041221619,si,5,15
val_loss,0.6122649312019348,si,5,15
val_precision,0.3870967626571655,si,5,15
val_f1,0.06299212574958801,si,5,16
val_recall,0.034383952617645264,si,5,16
val_acc,0.6865671873092651,si,5,16
val_loss,0.6130621433258057,si,5,16
val_precision,0.375,si,5,16
val_f1,0.057894736528396606,si,5,17
val_recall,0.03151862323284149,si,5,17
val_acc,0.6856892108917236,si,5,17
val_loss,0.6130597591400146,si,5,17
val_precision,0.35483869910240173,si,5,17
val_f1,0.07349081337451935,si,5,18
val_recall,0.04011461138725281,si,5,18
val_acc,0.6900790333747864,si,5,18
val_loss,0.6135724186897278,si,5,18
val_precision,0.4375,si,5,18
val_f1,0.06332454085350037,si,5,19
val_recall,0.034383952617645264,si,5,19
val_acc,0.6883230805397034,si,5,19
val_loss,0.6129076480865479,si,5,19
val_precision,0.4000000059604645,si,5,19
val_f1,0.06315789371728897,si,5,20
val_recall,0.034383952617645264,si,5,20
val_acc,0.6874451041221619,si,5,20
val_loss,0.6118370294570923,si,5,20
val_precision,0.3870967626571655,si,5,20
val_f1,0.0634920671582222,si,5,21
val_recall,0.034383952617645264,si,5,21
val_acc,0.6892010569572449,si,5,21
val_loss,0.6121705770492554,si,5,21
val_precision,0.4137931168079376,si,5,21
val_f1,0.06332454085350037,si,5,22
val_recall,0.034383952617645264,si,5,22
val_acc,0.6883230805397034,si,5,22
val_loss,0.6125598549842834,si,5,22
val_precision,0.4000000059604645,si,5,22
val_f1,0.05835543945431709,si,5,23
val_recall,0.03151862323284149,si,5,23
val_acc,0.6883230805397034,si,5,23
val_loss,0.6126003861427307,si,5,23
val_precision,0.3928571343421936,si,5,23
val_f1,0.06806282699108124,si,5,24
val_recall,0.037249282002449036,si,5,24
val_acc,0.6874451041221619,si,5,24
val_loss,0.6136212944984436,si,5,24
val_precision,0.39393940567970276,si,5,24
val_f1,0.06299212574958801,si,5,25
val_recall,0.034383952617645264,si,5,25
val_acc,0.6865671873092651,si,5,25
val_loss,0.6128724217414856,si,5,25
val_precision,0.375,si,5,25
val_f1,0.06806282699108124,si,5,26
val_recall,0.037249282002449036,si,5,26
val_acc,0.6874451041221619,si,5,26
val_loss,0.6136904358863831,si,5,26
val_precision,0.39393940567970276,si,5,26
val_f1,0.073107048869133,si,5,27
val_recall,0.04011461138725281,si,5,27
val_acc,0.6883230805397034,si,5,27
val_loss,0.6146051287651062,si,5,27
val_precision,0.4117647111415863,si,5,27
val_f1,0.0729166641831398,si,5,28
val_recall,0.04011461138725281,si,5,28
val_acc,0.6874451041221619,si,5,28
val_loss,0.6137903928756714,si,5,28
val_precision,0.4000000059604645,si,5,28
val_f1,0.06299212574958801,si,5,29
val_recall,0.034383952617645264,si,5,29
val_acc,0.6865671873092651,si,5,29
val_loss,0.6130306720733643,si,5,29
val_precision,0.375,si,5,29
val_f1,0.012578615918755531,jp,4,0
val_recall,0.006369426846504211,jp,4,0
val_acc,0.5864793658256531,jp,4,0
val_loss,0.6782183051109314,jp,4,0
val_precision,0.5,jp,4,0
val_f1,0.012631579302251339,jp,4,1
val_recall,0.006369426846504211,jp,4,1
val_acc,0.5882353186607361,jp,4,1
val_loss,0.6770145893096924,jp,4,1
val_precision,0.75,jp,4,1
val_f1,0.012631579302251339,jp,4,2
val_recall,0.006369426846504211,jp,4,2
val_acc,0.5882353186607361,jp,4,2
val_loss,0.6774159669876099,jp,4,2
val_precision,0.75,jp,4,2
val_f1,0.016736401244997978,jp,4,3
val_recall,0.00849256943911314,jp,4,3
val_acc,0.5873573422431946,jp,4,3
val_loss,0.6768953800201416,jp,4,3
val_precision,0.5714285969734192,jp,4,3
val_f1,0.008403361774981022,jp,4,4
val_recall,0.00424628471955657,jp,4,4
val_acc,0.5856013894081116,jp,4,4
val_loss,0.6781400442123413,jp,4,4
val_precision,0.4000000059604645,jp,4,4
val_f1,0.020618556067347527,jp,4,5
val_recall,0.010615711100399494,jp,4,5
val_acc,0.5829675197601318,jp,4,5
val_loss,0.6775276064872742,jp,4,5
val_precision,0.3571428656578064,jp,4,5
val_f1,0.04032257944345474,jp,4,6
val_recall,0.02123142220079899,jp,4,6
val_acc,0.5820895433425903,jp,4,6
val_loss,0.677412748336792,jp,4,6
val_precision,0.4000000059604645,jp,4,6
val_f1,0.10622710734605789,jp,4,7
val_recall,0.06157112494111061,jp,4,7
val_acc,0.5715540051460266,jp,4,7
val_loss,0.6792847514152527,jp,4,7
val_precision,0.3866666555404663,jp,4,7
val_f1,0.0667976438999176,jp,4,8
val_recall,0.036093417555093765,jp,4,8
val_acc,0.5829675197601318,jp,4,8
