metric,value,category,fold,epoch
val_f1,0.0,tf,2,0
val_recall,0.0,tf,2,0
val_acc,0.5856013894081116,tf,2,0
val_loss,0.6764206886291504,tf,2,0
val_precision,0.0,tf,2,0
val_f1,0.012422360479831696,tf,2,1
val_recall,0.006369426846504211,tf,2,1
val_acc,0.5812115669250488,tf,2,1
val_loss,0.6767003536224365,tf,2,1
val_precision,0.25,tf,2,1
val_f1,0.05088062584400177,tf,2,2
val_recall,0.0276008490473032,tf,2,2
val_acc,0.5741878747940063,tf,2,2
val_loss,0.6763497591018677,tf,2,2
val_precision,0.32499998807907104,tf,2,2
val_f1,0.11070110648870468,tf,2,3
val_recall,0.06369426846504211,tf,2,3
val_acc,0.5768217444419861,tf,2,3
val_loss,0.6737019419670105,tf,2,3
val_precision,0.4225352108478546,tf,2,3
val_f1,0.23948219418525696,tf,2,4
val_recall,0.15711252391338348,tf,2,4
val_acc,0.5873573422431946,tf,2,4
val_loss,0.6769567131996155,tf,2,4
val_precision,0.5034013390541077,tf,2,4
val_f1,0.19801980257034302,tf,2,5
val_recall,0.12738853693008423,tf,2,5
val_acc,0.5733098983764648,tf,2,5
val_loss,0.6892086267471313,tf,2,5
val_precision,0.4444444477558136,tf,2,5
val_f1,0.2852897346019745,tf,2,6
val_recall,0.20382165908813477,tf,2,6
val_acc,0.5776997208595276,tf,2,6
val_loss,0.6880570650100708,tf,2,6
val_precision,0.4752475321292877,tf,2,6
val_f1,0.3134978115558624,tf,2,7
val_recall,0.2292993664741516,tf,2,7
val_acc,0.5847234129905701,tf,2,7
val_loss,0.6835146546363831,tf,2,7
val_precision,0.4954128563404083,tf,2,7
val_f1,0.3323863744735718,tf,2,8
val_recall,0.24840764701366425,tf,2,8
val_acc,0.5873573422431946,tf,2,8
val_loss,0.6854456663131714,tf,2,8
val_precision,0.5021459460258484,tf,2,8
val_f1,0.28405797481536865,tf,2,9
val_recall,0.20806793868541718,tf,2,9
val_acc,0.5662862062454224,tf,2,9
val_loss,0.7113056182861328,tf,2,9
val_precision,0.44748857617378235,tf,2,9
val_f1,0.4005134701728821,tf,2,10
val_recall,0.331210196018219,tf,2,10
val_acc,0.5899912118911743,tf,2,10
val_loss,0.695415198802948,tf,2,10
val_precision,0.5064935088157654,tf,2,10
val_f1,0.38954249024391174,tf,2,11
val_recall,0.31634819507598877,tf,2,11
val_acc,0.5899912118911743,tf,2,11
val_loss,0.7036525011062622,tf,2,11
val_precision,0.5068027377128601,tf,2,11
val_f1,0.39390090107917786,tf,2,12
val_recall,0.3290870487689972,tf,2,12
val_acc,0.5812115669250488,tf,2,12
val_loss,0.7197521328926086,tf,2,12
val_precision,0.4905063211917877,tf,2,12
val_f1,0.3941798806190491,tf,2,13
val_recall,0.31634819507598877,tf,2,13
val_acc,0.5978928804397583,tf,2,13
val_loss,0.7003416419029236,tf,2,13
val_precision,0.5228070020675659,tf,2,13
val_f1,0.38491547107696533,tf,2,14
val_recall,0.31422504782676697,tf,2,14
val_acc,0.5847234129905701,tf,2,14
val_loss,0.7149511575698853,tf,2,14
val_precision,0.4966442883014679,tf,2,14
val_f1,0.3984575867652893,tf,2,15
val_recall,0.3290870487689972,tf,2,15
val_acc,0.5891132354736328,tf,2,15
val_loss,0.7141475081443787,tf,2,15
val_precision,0.5048859715461731,tf,2,15
val_f1,0.36734694242477417,tf,2,16
val_recall,0.2866241931915283,tf,2,16
val_acc,0.5917471647262573,tf,2,16
val_loss,0.6850790977478027,tf,2,16
val_precision,0.5113636255264282,tf,2,16
val_f1,0.36906376481056213,tf,2,17
val_recall,0.2887473404407501,tf,2,17
val_acc,0.5917471647262573,tf,2,17
val_loss,0.7003677487373352,tf,2,17
val_precision,0.5112782120704651,tf,2,17
val_f1,0.42326733469963074,tf,2,18
val_recall,0.36305731534957886,tf,2,18
val_acc,0.5908691883087158,tf,2,18
val_loss,0.7191926836967468,tf,2,18
val_precision,0.5074183940887451,tf,2,18
val_f1,0.38033634424209595,tf,2,19
val_recall,0.31210190057754517,tf,2,19
val_acc,0.5794556736946106,tf,2,19
val_loss,0.7221129536628723,tf,2,19
val_precision,0.4867549538612366,tf,2,19
val_f1,0.39463087916374207,tf,2,20
val_recall,0.31210190057754517,tf,2,20
val_acc,0.604038655757904,tf,2,20
val_loss,0.7110767364501953,tf,2,20
val_precision,0.5364963412284851,tf,2,20
val_f1,0.3760218024253845,tf,2,21
val_recall,0.2929936349391937,tf,2,21
val_acc,0.5978928804397583,tf,2,21
val_loss,0.697464644908905,tf,2,21
val_precision,0.5247148275375366,tf,2,21
val_f1,0.4345678985118866,tf,2,22
val_recall,0.3736730217933655,tf,2,22
val_acc,0.5978928804397583,tf,2,22
val_loss,0.7385196685791016,tf,2,22
val_precision,0.5191740393638611,tf,2,22
val_f1,0.37551021575927734,tf,2,23
val_recall,0.2929936349391937,tf,2,23
val_acc,0.5970149040222168,tf,2,23
val_loss,0.7139798998832703,tf,2,23
val_precision,0.5227272510528564,tf,2,23
val_f1,0.4005168080329895,tf,2,24
val_recall,0.3290870487689972,tf,2,24
val_acc,0.5926251411437988,tf,2,24
val_loss,0.7190987467765808,tf,2,24
val_precision,0.5115511417388916,tf,2,24
val_f1,0.40764331817626953,tf,2,25
val_recall,0.3397027552127838,tf,2,25
val_acc,0.5917471647262573,tf,2,25
val_loss,0.7171242833137512,tf,2,25
val_precision,0.5095541477203369,tf,2,25
val_f1,0.38512617349624634,tf,2,26
val_recall,0.30785563588142395,tf,2,26
val_acc,0.5935030579566956,tf,2,26
val_loss,0.7065232992172241,tf,2,26
val_precision,0.5141844153404236,tf,2,26
val_f1,0.38569605350494385,tf,2,27
val_recall,0.3205944895744324,tf,2,27
val_acc,0.5776997208595276,tf,2,27
val_loss,0.6938682794570923,tf,2,27
val_precision,0.4839743673801422,tf,2,27
val_f1,0.4101910889148712,tf,2,28
val_recall,0.3418259024620056,tf,2,28
val_acc,0.5935030579566956,tf,2,28
val_loss,0.7102435231208801,tf,2,28
val_precision,0.512738823890686,tf,2,28
val_f1,0.3947019875049591,tf,2,29
val_recall,0.31634819507598877,tf,2,29
val_acc,0.5987708568572998,tf,2,29
val_loss,0.705333948135376,tf,2,29
val_precision,0.5246478915214539,tf,2,29
val_f1,0.0,tf,9,0
val_recall,0.0,tf,9,0
val_acc,0.5861160159111023,tf,9,0
val_loss,0.6729955673217773,tf,9,0
val_precision,0.0,tf,9,0
val_f1,0.028455285355448723,tf,9,1
val_recall,0.014893617480993271,tf,9,1
val_acc,0.5799648761749268,tf,9,1
val_loss,0.6749973893165588,tf,9,1
val_precision,0.3181818127632141,tf,9,1
val_f1,0.03312629461288452,tf,9,2
val_recall,0.01702127605676651,tf,9,2
val_acc,0.5896309614181519,tf,9,2
val_loss,0.6682168841362,tf,9,2
val_precision,0.6153846383094788,tf,9,2
val_f1,0.0602409653365612,tf,9,3
val_recall,0.03191489353775978,tf,9,3
val_acc,0.5887522101402283,tf,9,3
val_loss,0.6677947044372559,tf,9,3
val_precision,0.5357142686843872,tf,9,3
val_f1,0.29411765933036804,tf,9,4
val_recall,0.19148936867713928,tf,9,4
val_acc,0.6203866600990295,tf,9,4
val_loss,0.6605838537216187,tf,9,4
val_precision,0.6338028311729431,tf,9,4
val_f1,0.26298701763153076,tf,9,5
val_recall,0.17234042286872864,tf,9,5
val_acc,0.6010544896125793,tf,9,5
val_loss,0.672828197479248,tf,9,5
val_precision,0.5547945499420166,tf,9,5
val_f1,0.35777124762535095,tf,9,6
val_recall,0.2595744729042053,tf,9,6
